source_row_uid,election,stat_area_vintage,source_locality_code,source_locality_name,effective_locality_code,effective_locality_name,source_kalpi,ballot_base,eligible_voters,actual_voters,gap_reason_code,resolution_state,classification_confidence,gap_explanation,arcgis_audit_status,arcgis_audit_reason,arcgis_review_decision,arcgis_review_basis,final_assignment_method,final_assignment_source,unresolved_reason
K17:2354,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,50,5,664,351,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2355,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,60,6,729,342,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2356,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,70,7,649,331,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2357,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,80,8,752,393,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2358,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,90,9,851,385,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2420,K17,1995,,אבשלום,1311,אבשלום,10,1,131,80,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2422,K17,1995,,נווה זיו,1314,נווה זיו,10,1,268,197,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2423,K17,1995,,מתן,1315,מתן,10,1,630,513,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2424,K17,1995,,מתן,1315,מתן,20,2,555,439,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2425,K17,1995,,מתן,1315,מתן,30,3,492,384,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2426,K17,1995,,דמיידה,1317,דמיידה,10,1,185,128,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2427,K17,1995,,בת חפר,1319,בת חפר,10,1,726,550,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2428,K17,1995,,בת חפר,1319,בת חפר,20,2,797,553,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2429,K17,1995,,בת חפר,1319,בת חפר,30,3,660,469,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2430,K17,1995,,בת חפר,1319,בת חפר,40,4,710,536,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2431,K17,1995,,ח'ואלד,1321,ח'ואלד,10,1,183,120,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2432,K17,1995,,בת הדר,1323,בת הדר,10,1,214,139,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2433,K17,1995,,"בסמ""ה",1326,"בסמ""ה",10,1,552,228,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2434,K17,1995,,"בסמ""ה",1326,"בסמ""ה",20,2,799,297,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2435,K17,1995,,"בסמ""ה",1326,"בסמ""ה",30,3,769,393,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2436,K17,1995,,"בסמ""ה",1326,"בסמ""ה",40,4,743,414,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2437,K17,1995,,"בסמ""ה",1326,"בסמ""ה",50,5,596,255,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2438,K17,1995,,"בסמ""ה",1326,"בסמ""ה",60,6,554,247,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2451,K17,1995,,אחוזת ברק,1330,אחוזת ברק,10,1,718,510,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:1755,K17,1995,,סואעד (כמאנה) (שב,1331,כמאנה,10,1,115,40,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,reviewed_locality_crosswalk,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2452,K17,1995,,כמאנה,1331,כמאנה,10,1,588,393,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2453,K17,1995,,חוסנייה,1332,חוסנייה,10,1,283,118,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2454,K17,1995,,נוף איילון,1333,נוף איילון,10,1,493,441,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2455,K17,1995,,נוף איילון,1333,נוף איילון,20,2,534,481,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2456,K17,1995,,ראס אל-עין,1334,ראס אל-עין,10,1,135,82,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2457,K17,1995,,שמשית,1337,שמשית,10,1,569,476,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2458,K17,1995,,שמשית,1337,שמשית,20,2,503,423,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2459,K17,1995,,קצר א-סר,1347,קצר א-סר,10,1,265,147,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2460,K17,1995,,דריג'את,1349,דריג'את,10,1,231,201,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2461,K17,1995,,אום בטין,1358,אום בטין,10,1,173,117,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2477,K17,1995,,אשל הנשיא,2021,אשל הנשיא,10,1,99,68,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:157,K17,1995,,מקווה ישראל,22,מקווה ישראל,10,1,179,130,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2798,K17,1995,,אילת,2600,אילת,9900,990,154,9,central_ballot_990_locality_only,intentionally_locality_only,high,Ballot 990 is a central ballot for voters registered in the locality without a supported area-level allocation; in this multi-area locality no statistical-area assignment is defensible.,,,,,historical_stat_area_pending,automatic_name_match,Central ballot 990 serves locality-registered voters without a supported area-level allocation; this multi-area locality cannot be reduced to one statistical area
K17:3104,K17,1995,,טירה,2720,טירה,10,1,729,440,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3113,K17,1995,,טירה,2720,טירה,100,10,712,412,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3114,K17,1995,,טירה,2720,טירה,110,11,631,376,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3115,K17,1995,,טירה,2720,טירה,120,12,720,440,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3116,K17,1995,,טירה,2720,טירה,130,13,720,444,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3117,K17,1995,,טירה,2720,טירה,140,14,679,395,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3118,K17,1995,,טירה,2720,טירה,150,15,742,435,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3119,K17,1995,,טירה,2720,טירה,160,16,661,367,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3120,K17,1995,,טירה,2720,טירה,170,17,695,423,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3121,K17,1995,,טירה,2720,טירה,180,18,647,388,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3105,K17,1995,,טירה,2720,טירה,20,2,734,381,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3106,K17,1995,,טירה,2720,טירה,30,3,737,430,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3107,K17,1995,,טירה,2720,טירה,40,4,666,371,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3108,K17,1995,,טירה,2720,טירה,50,5,570,324,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3109,K17,1995,,טירה,2720,טירה,60,6,617,372,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:3110,K17,1995,,טירה,2720,טירה,70,7,720,420,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
